id,left,top,right,bottom
"1566",-2.609929566,52.914190177,-2.609829566,52.914290177
"1567",-2.609929566,52.914090177,-2.609829566,52.914190177
"1568",-2.609929566,52.913990177,-2.609829566,52.914090177
"1569",-2.609929566,52.913890177,-2.609829566,52.913990177
"1570",-2.609929566,52.913790177,-2.609829566,52.913890177
"1571",-2.609929566,52.913690177,-2.609829566,52.913790177
"1572",-2.609929566,52.913590177,-2.609829566,52.913690177
"1605",-2.609829566,52.914690177,-2.609729566,52.914790177
"1606",-2.609829566,52.914590177,-2.609729566,52.914690177
"1607",-2.609829566,52.914490177,-2.609729566,52.914590177
"1608",-2.609829566,52.914390177,-2.609729566,52.914490177
"1609",-2.609829566,52.914290177,-2.609729566,52.914390177
"1610",-2.609829566,52.914190177,-2.609729566,52.914290177
"1611",-2.609829566,52.914090177,-2.609729566,52.914190177
"1612",-2.609829566,52.913990177,-2.609729566,52.914090177
"1613",-2.609829566,52.913890177,-2.609729566,52.913990177
"1614",-2.609829566,52.913790177,-2.609729566,52.913890177
"1615",-2.609829566,52.913690177,-2.609729566,52.913790177
"1616",-2.609829566,52.913590177,-2.609729566,52.913690177
"1649",-2.609729566,52.914690177,-2.609629566,52.914790177
"1650",-2.609729566,52.914590177,-2.609629566,52.914690177
"1651",-2.609729566,52.914490177,-2.609629566,52.914590177
"1652",-2.609729566,52.914390177,-2.609629566,52.914490177
"1653",-2.609729566,52.914290177,-2.609629566,52.914390177
"1654",-2.609729566,52.914190177,-2.609629566,52.914290177
"1655",-2.609729566,52.914090177,-2.609629566,52.914190177
"1656",-2.609729566,52.913990177,-2.609629566,52.914090177
"1657",-2.609729566,52.913890177,-2.609629566,52.913990177
"1658",-2.609729566,52.913790177,-2.609629566,52.913890177
"1659",-2.609729566,52.913690177,-2.609629566,52.913790177
"1693",-2.609629566,52.914690177,-2.609529566,52.914790177
"1694",-2.609629566,52.914590177,-2.609529566,52.914690177
"1695",-2.609629566,52.914490177,-2.609529566,52.914590177
"1696",-2.609629566,52.914390177,-2.609529566,52.914490177
"1697",-2.609629566,52.914290177,-2.609529566,52.914390177
"1698",-2.609629566,52.914190177,-2.609529566,52.914290177
"1699",-2.609629566,52.914090177,-2.609529566,52.914190177
"1700",-2.609629566,52.913990177,-2.609529566,52.914090177
"1701",-2.609629566,52.913890177,-2.609529566,52.913990177
"1702",-2.609629566,52.913790177,-2.609529566,52.913890177
"1703",-2.609629566,52.913690177,-2.609529566,52.913790177
"1737",-2.609529566,52.914690177,-2.609429566,52.914790177
"1738",-2.609529566,52.914590177,-2.609429566,52.914690177
"1739",-2.609529566,52.914490177,-2.609429566,52.914590177
"1740",-2.609529566,52.914390177,-2.609429566,52.914490177
"1741",-2.609529566,52.914290177,-2.609429566,52.914390177
"1742",-2.609529566,52.914190177,-2.609429566,52.914290177
"1743",-2.609529566,52.914090177,-2.609429566,52.914190177
"1744",-2.609529566,52.913990177,-2.609429566,52.914090177
"1745",-2.609529566,52.913890177,-2.609429566,52.913990177
"1746",-2.609529566,52.913790177,-2.609429566,52.913890177
"1781",-2.609429566,52.914690177,-2.609329566,52.914790177
"1782",-2.609429566,52.914590177,-2.609329566,52.914690177
"1783",-2.609429566,52.914490177,-2.609329566,52.914590177
"1784",-2.609429566,52.914390177,-2.609329566,52.914490177
"1785",-2.609429566,52.914290177,-2.609329566,52.914390177
"1786",-2.609429566,52.914190177,-2.609329566,52.914290177
"1787",-2.609429566,52.914090177,-2.609329566,52.914190177
"1788",-2.609429566,52.913990177,-2.609329566,52.914090177
"1789",-2.609429566,52.913890177,-2.609329566,52.913990177
"1790",-2.609429566,52.913790177,-2.609329566,52.913890177
