id,x,y,right,bottom
20991,359226.2612,335543.9782,359229.2612,335546.9782
20992,359226.2612,335540.9782,359229.2612,335543.9782
20993,359226.2612,335537.9782,359229.2612,335540.9782
20994,359226.2612,335534.9782,359229.2612,335537.9782
20995,359226.2612,335531.9782,359229.2612,335534.9782
20996,359226.2612,335528.9782,359229.2612,335531.9782
20997,359226.2612,335525.9782,359229.2612,335528.9782
20998,359226.2612,335522.9782,359229.2612,335525.9782
20999,359226.2612,335519.9782,359229.2612,335522.9782
21000,359226.2612,335516.9782,359229.2612,335519.9782
21001,359226.2612,335513.9782,359229.2612,335516.9782
21002,359226.2612,335510.9782,359229.2612,335513.9782
21003,359226.2612,335507.9782,359229.2612,335510.9782
21004,359226.2612,335504.9782,359229.2612,335507.9782
21005,359226.2612,335501.9782,359229.2612,335504.9782
21006,359226.2612,335498.9782,359229.2612,335501.9782
21007,359226.2612,335495.9782,359229.2612,335498.9782
21008,359226.2612,335492.9782,359229.2612,335495.9782
21009,359226.2612,335489.9782,359229.2612,335492.9782
21010,359226.2612,335486.9782,359229.2612,335489.9782
21011,359226.2612,335483.9782,359229.2612,335486.9782
21012,359226.2612,335480.9782,359229.2612,335483.9782
21013,359226.2612,335477.9782,359229.2612,335480.9782
21014,359226.2612,335474.9782,359229.2612,335477.9782
21015,359226.2612,335471.9782,359229.2612,335474.9782
21016,359226.2612,335468.9782,359229.2612,335471.9782
21017,359226.2612,335465.9782,359229.2612,335468.9782
21018,359226.2612,335462.9782,359229.2612,335465.9782
21019,359226.2612,335459.9782,359229.2612,335462.9782
21020,359226.2612,335456.9782,359229.2612,335459.9782
