Plot,treatment,Treatment,ECClass,SoilZone,Field,ho,x,y,Name,sample,plants_q,plants_m2,shoots_q,shoots_m2,pods_q,pods_m2,bean_fm,bean_g_m2,t_ha_fw,bean_t_ha,bean_dm,b_dm_m2,g_ha,t_ha,bean_dm_m2,crop_fw_q,crop_fw_m2,crop_dm_q,crop_dm_m2,crop_dm_ha,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,plant_height
1,CON,Conventional,2,3,1,12,-2.6064688,52.91506619,S012,12,5,16.665,0,0,50,166.65,95.16,,,3.168828,89,556.25,5562500,5.5625,296.637,282,939.906,150,499.95,4.9995,124,123,123,113,112,,,,,,119
1,CON,Conventional,2,3,1,13,-2.60655936,52.9149572,S013,13,6,19.998,2,6.666,60,199.98,120.16,,,4.001328,114,712.5,7125000,7.125,379.962,414,1379.862,202,673.266,6.73266,131,135,134,130,132,109,,,,,128.5
1,CON,Conventional,2,3,1,14,-2.60652623,52.91491566,S014,14,6,19.998,0,0,73,243.309,130.16,,,4.334328,124,775,7750000,7.75,413.292,434,1446.522,223,743.259,7.43259,117,114,111,126,117,114,,,,,116.5
1,CON,Conventional,2,3,1,15,-2.60661378,52.91489545,S015,15,5,16.665,0,0,85,283.305,140.16,,,4.667328,134,837.5,8375000,8.375,446.622,424,1413.192,227,756.591,7.56591,124,126,124,118,128,,,,,,124
1,CON,Conventional,2,4,1,16,-2.6066981,52.91500221,S016,16,8,26.664,1,3.333,73,243.309,134.16,,,4.467528,128,800,8000000,8,426.624,477,1589.841,224,746.592,7.46592,131,126,110,104,107,131,111,125,,,118.125
1,CON,Conventional,2,4,1,17,-2.60678045,52.91497887,S017,17,8,26.664,1,3.333,63,209.979,116.16,,,3.868128,110,687.5,6875000,6.875,366.63,390,1299.87,194,646.602,6.46602,110,112,110,94,93,94,110,105,109,,117.125
1,CON,Conventional,2,4,1,18,-2.60681178,52.91491556,S018,18,6,19.998,1,3.333,84,279.972,147.16,,,4.900428,141,881.25,8812500,8.8125,469.953,416,1386.528,244,813.252,8.13252,131,139,119,116,117,118,,,,,123.3333333
1,CON,Conventional,2,4,1,19,-2.60670045,52.91486498,S019,19,6,19.998,0,0,62,206.646,81.16,,,2.702628,75,468.75,4687500,4.6875,249.975,344,1146.552,181,603.273,6.03273,105,108,113,111,113,104,,,,,109
1,CON,Conventional,2,4,1,20,-2.60683737,52.91486242,S020,20,6,19.998,1,3.333,56,186.648,108.16,,,3.601728,102,637.5,6375000,6.375,339.966,268,893.244,186,619.938,6.19938,107,109,95,97,97,93,,,,,99.66666667
1,CON,Conventional,4,5,1,22,-2.60709407,52.91479047,S021,21,5,16.665,1,3.333,76,253.308,120.16,,,4.001328,114,712.5,7125000,7.125,379.962,364,1213.212,207,689.931,6.89931,108,119,121,115,111,,,,,,114.8
1,CON,Conventional,4,5,1,21,-2.60702974,52.91474819,S022,22,5,16.665,2,6.666,73,243.309,141.16,,,4.700628,135,843.75,8437500,8.4375,449.955,463,1543.179,231,769.923,7.69923,121,131,119,115,105,,,,,,118.2
1,CON,Conventional,4,5,1,23,-2.60716649,52.9147555,S023,23,6,19.998,2,6.666,88,293.304,138.16,,,4.600728,132,825,8250000,8.25,439.956,396,1319.868,221,736.593,7.36593,112,112,111,113,102,109,,,,,109.8333333
1,CON,Conventional,4,5,1,24,-2.60713706,52.91470851,S024,24,8,26.664,1,3.333,74,246.642,139.16,,,4.634028,133,831.25,8312500,8.3125,443.289,483,1609.839,221,736.593,7.36593,96,106,107,113,99,112,103,,,,92
1,CON,Conventional,4,5,1,25,-2.60724669,52.91468429,S025,25,5,16.665,1,3.333,75,249.975,147.16,,,4.900428,141,881.25,8812500,8.8125,469.953,566,1886.478,242,806.586,8.06586,140,142,137,146,145,,,,,,142
2,CA,Conservation,3,5,1,1,-2.60738792,52.91492946,S026,26,8,26.664,1,3.333,86,286.638,147.16,,,4.900428,141,881.25,8812500,8.8125,469.953,568,1893.144,243,809.919,8.09919,129,133,136,104,121,116,126,134,,,124.875
2,CA,Conservation,3,5,1,2,-2.60735183,52.91502019,S027,27,5,16.665,1,3.333,91,303.303,150.16,,,5.000328,144,900,9000000,9,479.952,588,1959.804,234,779.922,7.79922,127,108,107,97,115,96,,,,,130
2,CA,Conservation,3,5,1,3,-2.60723424,52.91506616,S028,28,6,19.998,0,0,95,316.635,162.16,,,5.399928,156,975,9750000,9.75,519.948,645,2149.785,266,886.578,8.86578,93,80,108,97,99,84,,,,,93.5
2,CA,Conservation,3,5,1,4,-2.60709353,52.91503636,S029,29,7,23.331,1,3.333,63,209.979,126.16,,,4.201128,120,750,7500000,7.5,399.96,498,1659.834,223,743.259,7.43259,108,110,103,102,120,103,98,,,,106.2857143
2,CA,Conservation,3,5,1,5,-2.60707055,52.91509476,S030,30,6,19.998,0,0,73,243.309,141.16,,,4.700628,135,843.75,8437500,8.4375,449.955,552,1839.816,235,783.255,7.83255,135,126,132,129,120,141,,,,,130.5
2,CA,Conservation,3,4,1,6,-2.60696931,52.91506757,S031,31,6,19.998,0,0,94,313.302,157.16,,,5.233428,151,943.75,9437500,9.4375,503.283,528,1759.824,265,883.245,8.83245,116,104,145,131,123,103,,,,,120.3333333
2,CA,Conservation,3,4,1,7,-2.60679303,52.91509208,S032,32,5,16.665,2,6.666,76,253.308,130.16,,,4.334328,124,775,7750000,7.75,413.292,411,1369.863,215,716.595,7.16595,133,126,131,123,108,,,,,,124.2
2,CA,Conservation,3,4,1,8,-2.60682046,52.91515785,S033,33,7,23.331,1,3.333,63,209.979,121.16,,,4.034628,115,718.75,7187500,7.1875,383.295,380,1266.54,201,669.933,6.69933,125,103,65,107,99,112,105,,,,102.2857143
2,CA,Conservation,3,4,1,9,-2.60672881,52.91520093,S034,34,6,19.998,0,0,79,263.307,141.16,,,4.700628,135,843.75,8437500,8.4375,449.955,462,1539.846,225,749.925,7.49925,134,137,135,130,128,122,,,,,131
2,CA,Conservation,3,4,1,10,-2.60663752,52.91521529,S035,35,7,23.331,1,3.333,80,266.64,131.16,,,4.367628,125,781.25,7812500,7.8125,416.625,431,1436.523,211,703.263,7.03263,117,110,116,128,124,121,121,,,,119.5714286
2,CA,Conservation,3,3,1,11,-2.60659033,52.91511791,S036,36,6,19.998,0,0,47,156.651,95.16,,,3.168828,89,556.25,5562500,5.5625,296.637,293,976.569,161,536.613,5.36613,118,121,110,115,117,109,,,,,115
2,CA,Conservation,3,3,1,12,-2.60651616,52.91517271,S037,37,5,16.665,1,3.333,50,166.65,95.16,,,3.168828,89,556.25,5562500,5.5625,296.637,316,1053.228,166,553.278,5.53278,119,108,114,114,120,,,,,,115
2,CA,Conservation,3,3,1,13,-2.60657608,52.91527551,S038,38,6,19.998,1,3.333,95,316.635,158.16,,,5.266728,152,950,9500000,9.5,506.616,497,1656.501,251,836.583,8.36583,133,146,113,123,104,,,,,,103.1666667
2,CA,Conservation,3,3,1,14,-2.60649889,52.91527881,S039,39,6,19.998,0,0,73,243.309,116.16,,,3.868128,110,687.5,6875000,6.875,366.63,327,1089.891,189,629.937,6.29937,119,127,105,120,119,125,,,,,119.1666667
2,CA,Conservation,3,3,1,15,-2.60644411,52.91520737,S040,40,8,26.664,0,0,97,323.301,175.16,,,5.832828,169,1056.25,10562500,10.5625,563.277,491,1636.503,288,959.904,9.59904,121,132,119,134,128,116,118,112,,,122.5
2,CA,Conservation,3,2,1,16,-2.60601317,52.9153903,S041,41,5,16.665,0,0,68,226.644,117.16,,,3.901428,111,693.75,6937500,6.9375,369.963,536,1786.488,200,666.6,6.666,132,126,133,135,108,,,,,,126.8
2,CA,Conservation,3,2,1,17,-2.60561388,52.91557039,S042,42,6,19.998,0,0,71,236.643,111.16,,,3.701628,105,656.25,6562500,6.5625,349.965,347,1156.551,195,649.935,6.49935,116,129,117,118,118,119,,,,,119.5
2,CA,Conservation,3,2,1,18,-2.60535051,52.91552987,S043,43,5,16.665,3,9.999,61,203.313,114.16,,,3.801528,108,675,6750000,6.75,359.964,386,1286.538,193,643.269,6.43269,128,131,132,122,112,,,,,,125
2,CA,Conservation,3,2,1,19,-2.60541382,52.91564033,S044,44,6,19.998,0,0,75,249.975,150.16,,,5.000328,144,900,9000000,9,479.952,473,1576.509,252,839.916,8.39916,142,138,109,128,137,136,,,,,131.6666667
2,CA,Conservation,3,2,1,20,-2.60525669,52.91555657,S045,45,5,16.665,3,9.999,56,186.648,95.16,,,3.168828,89,556.25,5562500,5.5625,296.637,297,989.901,167,556.611,5.56611,109,124,117,114,109,,,,,,114.6
2,CA,Conservation,5,1,1,21,-2.60538597,52.91567037,S046,46,6,19.998,0,0,72,239.976,121.16,,,4.034628,115,718.75,7187500,7.1875,383.295,335,1116.555,195,649.935,6.49935,122,116,108,101,99,97,,,,,107.1666667
2,CA,Conservation,5,1,1,22,-2.60521229,52.91557684,S047,47,6,19.998,0,0,96,319.968,135.16,,,4.500828,129,806.25,8062500,8.0625,429.957,404,1346.532,226,753.258,7.53258,94,113,104,110,101,105,,,,,104.5
2,CA,Conservation,5,1,1,23,-2.60519641,52.91562634,S048,48,7,23.331,1,3.333,75,249.975,125.16,,,4.167828,119,743.75,7437500,7.4375,396.627,376,1253.208,213,709.929,7.09929,96,104,98,90,107,101,91,,,,98.14285714
2,CA,Conservation,5,1,1,24,-2.60523288,52.91566748,S049,49,8,26.664,2,6.666,68,226.644,104.16,,,3.468528,98,612.5,6125000,6.125,326.634,275,916.575,172,573.276,5.73276,101,88,93,99,93,88,89,91,,,92.75
2,CA,Conservation,5,1,1,25,-2.60515598,52.91568516,S050,50,7,23.331,0,0,77,256.641,123.16,,,4.101228,117,731.25,7312500,7.3125,389.961,338,1126.554,195,649.935,6.49935,104,105,101,106,106,101,,,,,89
3,CON,Conventional,6,1,1,1,-2.60531422,52.91581217,S051,51,5,16.665,2,6.666,70,233.31,126.16,,,4.201128,120,750,7500000,7.5,399.96,331,1103.223,195,649.935,6.49935,131,120,118,109,104,,,,,,116.4
3,CON,Conventional,6,1,1,2,-2.60537715,52.91592294,S052,52,5,16.665,3,9.999,55,183.315,107.16,,,3.568428,101,631.25,6312500,6.3125,336.633,376,1253.208,191,636.603,6.36603,113,114,120,112,110,,,,,,113.8
3,CON,Conventional,6,1,1,3,-2.60544816,52.9158925,S053,53,5,16.665,0,0,70,233.31,103.16,,,3.435228,97,606.25,6062500,6.0625,323.301,241,803.253,162,539.946,5.39946,110,104,96,97,99,,,,,,101.2
3,CON,Conventional,6,1,1,4,-2.60549687,52.91580794,S054,54,8,26.664,0,0,87,289.971,147.16,,,4.900428,141,881.25,8812500,8.8125,469.953,420,1399.86,246,819.918,8.19918,102,113,105,106,109,105,105,127,,,109
3,CON,Conventional,6,1,1,5,-2.60541821,52.91573293,S055,55,4,13.332,1,3.333,53,176.649,102.16,,,3.401928,96,600,6000000,6,319.968,280,933.24,153,509.949,5.09949,106,119,118,111,,,,,,,113.5
3,CON,Conventional,3,2,1,6,-2.60548304,52.91570896,S056,56,6,19.998,0,0,61,203.313,116.16,,,3.868128,110,687.5,6875000,6.875,366.63,320,1066.56,180,599.94,5.9994,98,99,95,116,111,122,,,,,106.8333333
3,CON,Conventional,3,2,1,7,-2.60567396,52.91566308,S057,57,4,13.332,2,6.666,77,256.641,134.16,,,4.467528,128,800,8000000,8,426.624,446,1486.518,209,696.597,6.96597,120,129,121,108,,,,,,,119.5
3,CON,Conventional,3,2,1,8,-2.60615086,52.91567413,S058,58,8,26.664,1,3.333,93,309.969,105.16,,,3.501828,99,618.75,6187500,6.1875,329.967,325,1083.225,175,583.275,5.83275,106,108,114,111,113,115,110,92,,,108.625
3,CON,Conventional,3,2,1,9,-2.60610615,52.91554159,S059,59,5,16.665,2,6.666,74,246.642,126.16,,,4.201128,120,750,7500000,7.5,399.96,323,1076.559,199,663.267,6.63267,114,117,121,98,100,,,,,,110
3,CON,Conventional,3,2,1,10,-2.60629605,52.91557253,S060,60,5,16.665,2,6.666,75,249.975,143.16,,,4.767228,137,856.25,8562500,8.5625,456.621,473,1576.509,237,789.921,7.89921,122,123,118,133,139,,,,,,127
3,CON,Conventional,3,3,1,11,-2.6065405,52.91549129,S061,61,8,26.664,0,0,82,273.306,138.16,,,4.600728,132,825,8250000,8.25,439.956,571,1903.143,241,803.253,8.03253,115,147,122,136,143,152,147,159,,,140.125
3,CON,Conventional,3,3,1,12,-2.60666284,52.9154939,S062,62,9,29.997,2,6.666,88,293.304,138.16,,,4.600728,132,825,8250000,8.25,439.956,426,1419.858,231,769.923,7.69923,109,121,124,122,137,119,127,102,112,,119.2222222
3,CON,Conventional,3,3,1,13,-2.60658177,52.91544461,S063,63,6,19.998,1,3.333,83,276.639,131.16,,,4.367628,125,781.25,7812500,7.8125,416.625,413,1376.529,218,726.594,7.26594,135,138,141,131,129,135,,,,,134.8333333
3,CON,Conventional,3,3,1,14,-2.60650305,52.91539601,S064,64,6,19.998,0,0,89,296.637,159.16,,,5.300028,153,956.25,9562500,9.5625,509.949,555,1849.815,260,866.58,8.6658,168,165,148,124,139,142,,,,,147.6666667
3,CON,Conventional,3,3,1,15,-2.60660559,52.91539399,S065,65,7,23.331,0,0,82,273.306,153.16,,,5.100228,147,918.75,9187500,9.1875,489.951,545,1816.485,252,839.916,8.39916,130,132,151,149,131,150,121,,,,137.7142857
3,CON,Conventional,9,4,1,16,-2.60668698,52.91540406,S066,66,5,16.665,0,0,94,313.302,154.16,,,5.133528,148,925,9250000,9.25,493.284,534,1779.822,242,806.586,8.06586,138,145,155,121,125,,,,,,136.8
3,CON,Conventional,9,4,1,17,-2.60676275,52.91543045,S067,67,5,16.665,0,0,39,129.987,74.16,,,2.469528,68,425,4250000,4.25,226.644,231,769.923,129,429.957,4.29957,130,109,112,118,126,,,,,,119
3,CON,Conventional,9,4,1,18,-2.60684643,52.91536374,S068,68,6,19.998,3,9.999,60,199.98,109.16,,,3.635028,103,643.75,6437500,6.4375,343.299,381,1269.873,197,656.601,6.56601,130,118,142,121,129,134,,,,,129
3,CON,Conventional,9,4,1,19,-2.6068616,52.91528371,S069,69,5,16.665,0,0,38,126.654,66.16,,,2.203128,60,375,3750000,3.75,199.98,215,716.595,108,359.964,3.59964,128,115,136,116,88,,,,,,116.6
3,CON,Conventional,9,4,1,20,-2.60692482,52.91524259,S070,70,6,19.998,0,0,63,209.979,111.16,,,3.701628,105,656.25,6562500,6.5625,349.965,347,1156.551,193,643.269,6.43269,118,122,120,121,118,109,,,,,118
3,CON,Conventional,9,5,1,21,-2.60699426,52.91528594,S071,71,7,23.331,2,6.666,64,213.312,113.16,,,3.768228,107,668.75,6687500,6.6875,356.631,388,1293.204,212,706.596,7.06596,117,138,132,138,135,123,127,,,,130
3,CON,Conventional,9,5,1,22,-2.60706456,52.91533377,S072,72,6,19.998,0,0,64,213.312,108.16,,,3.601728,102,637.5,6375000,6.375,339.966,348,1159.884,182,606.606,6.06606,118,101,106,116,110,108,100,,,,126.5
3,CON,Conventional,9,5,1,23,-2.60705933,52.91526203,S073,73,8,26.664,0,0,67,223.311,118.16,,,3.934728,112,700,7000000,7,373.296,358,1193.214,218,726.594,7.26594,110,111,112,101,109,96,113,114,,,108.25
3,CON,Conventional,9,5,1,24,-2.60744951,52.91510206,S074,74,5,16.665,0,0,68,226.644,105.16,,,3.501828,99,618.75,6187500,6.1875,329.967,338,1126.554,179,596.607,5.96607,114,127,120,128,125,,,,,,122.8
3,CON,Conventional,9,5,1,25,-2.60760248,52.91514332,S075,75,5,16.665,0,0,58,193.314,97.16,,,3.235428,91,568.75,5687500,5.6875,303.303,340,1133.22,183,609.939,6.09939,115,133,135,134,108,,,,,,125
4,CA,Conservation,8,5,1,,-2.60712979,52.91548966,S076,76,5,16.665,1,3.333,38,126.654,65.16,,,2.169828,59,368.75,3687500,3.6875,196.647,174,579.942,109,363.297,3.63297,98,117,97,109,108,,,,,,105.8
4,CA,Conservation,8,5,1,,-2.60712599,52.9155262,S077,77,6,19.998,2,6.666,45,149.985,65.16,,,2.169828,59,368.75,3687500,3.6875,196.647,173,576.609,116,386.628,3.86628,108,115,86,99,98,90,,,,,99.33333333
4,CA,Conservation,8,5,1,,-2.60692161,52.91559476,S078,78,6,19.998,1,3.333,55,183.315,75.16,,,2.502828,69,431.25,4312500,4.3125,229.977,207,689.931,128,426.624,4.26624,116,105,87,109,106,104,,,,,104.5
4,CA,Conservation,8,5,1,,-2.60691378,52.91562443,S079,79,8,26.664,0,0,58,193.314,100.16,,,3.335328,94,587.5,5875000,5.875,313.302,292,973.236,167,556.611,5.56611,104,101,108,104,102,102,93,110,,,103
4,CA,Conservation,8,5,1,,-2.60687528,52.91552014,S080,80,4,13.332,1,3.333,29,96.657,55.16,,,1.836828,49,306.25,3062500,3.0625,163.317,192,639.936,96,319.968,3.19968,112,112,127,107,,,,,,,114.5
4,CA,Conservation,6,4,1,,-2.60681713,52.91553725,S081,81,5,16.665,0,0,48,159.984,87.16,,,2.902428,81,506.25,5062500,5.0625,269.973,308,1026.564,176,586.608,5.86608,129,135,119,128,125,,,,,,127.2
4,CA,Conservation,6,4,1,,-2.60681679,52.9155877,S082,82,6,19.998,1,3.333,45,149.985,74.16,,,2.469528,68,425,4250000,4.25,226.644,248,826.584,142,473.286,4.73286,138,122,137,112,127,115,,,,,125.1666667
4,CA,Conservation,6,4,1,,-2.6067956,52.91561594,S083,83,5,16.665,0,0,59,196.647,65.16,,,2.169828,59,368.75,3687500,3.6875,196.647,321,1069.893,131,436.623,4.36623,128,126,127,133,113,,,,,,125.4
4,CA,Conservation,6,4,1,,-2.60688022,52.91564199,S084,84,5,16.665,0,0,51,169.983,82.16,,,2.735928,76,475,4750000,4.75,253.308,287,956.571,135,449.955,4.49955,124,110,119,113,118,,,,,,116.8
4,CA,Conservation,6,4,1,,-2.60672701,52.91556928,S085,85,5,16.665,0,0,50,166.65,104.16,,,3.468528,98,612.5,6125000,6.125,326.634,346,1153.218,171,569.943,5.69943,124,110,146,138,139,,,,,,131.4
4,CA,Conservation,5,3,1,,-2.60675248,52.91566069,S086,86,5,16.665,1,3.333,40,133.32,64.16,,,2.136528,58,362.5,3625000,3.625,193.314,233,776.589,102,339.966,3.39966,103,129,106,116,114,,,,,,113.6
4,CA,Conservation,5,3,1,,-2.60675178,52.9157038,S087,87,5,16.665,0,0,61,203.313,131.16,,,4.367628,125,781.25,7812500,7.8125,416.625,412,1373.196,216,719.928,7.19928,119,105,112,109,96,,,,,,108.2
4,CA,Conservation,5,3,1,,-2.60665621,52.91568972,S088,88,4,13.332,1,3.333,86,286.638,148.16,,,4.933728,142,887.5,8875000,8.875,473.286,427,1423.191,214,713.262,7.13262,129,118,128,104,,,,,,,119.75
4,CA,Conservation,5,3,1,,-2.60659353,52.91565821,S089,89,6,19.998,0,0,49,163.317,78.16,,,2.602728,72,450,4500000,4.5,239.976,178,593.274,119,396.627,3.96627,100,87,85,102,98,92,,,,,94
4,CA,Conservation,5,3,1,,-2.60658673,52.91560927,S090,90,7,23.331,0,0,67,223.311,126.16,,,4.201128,120,750,7500000,7.5,399.96,465,1549.845,204,679.932,6.79932,139,132,122,137,105,124,105,,,,123.4285714
4,CA,Conservation,4,2,1,,-2.60650886,52.91563081,S091,91,7,23.331,0,0,57,189.981,108.16,,,3.601728,102,637.5,6375000,6.375,339.966,304,1013.232,181,603.273,6.03273,114,107,111,103,106,101,110,,,,107.4285714
4,CA,Conservation,4,2,1,,-2.6063768,52.9157305,S092,92,6,19.998,0,0,70,233.31,114.16,,,3.801528,108,675,6750000,6.75,359.964,329,1096.557,194,646.602,6.46602,108,115,112,102,106,109,,,,,108.6666667
4,CA,Conservation,4,2,1,,-2.60623007,52.91576262,S093,93,7,23.331,0,0,45,149.985,89.16,,,2.969028,83,518.75,5187500,5.1875,276.639,191,636.603,111,369.963,3.69963,104,104,108,102,107,105,91,,,,103
4,CA,Conservation,4,2,1,,-2.6062584,52.91581664,S094,94,5,16.665,1,3.333,50,166.65,127.16,,,4.234428,121,756.25,7562500,7.5625,403.293,318,1059.894,193,643.269,6.43269,125,119,132,120,115,,,,,,122.2
4,CA,Conservation,4,2,1,,-2.6061326,52.91575823,S095,95,7,23.331,2,6.666,58,193.314,76.16,,,2.536128,70,437.5,4375000,4.375,233.31,236,786.588,144,479.952,4.79952,102,108,101,102,103,102,,,,,88.28571429
4,CA,Conservation,6,1,1,,-2.60560688,52.91603044,S096,96,5,16.665,3,9.999,55,183.315,78.16,,,2.602728,72,450,4500000,4.5,239.976,292,973.236,170,566.61,5.6661,104,118,102,93,87,,,,,,100.8
4,CA,Conservation,6,1,1,,-2.60544328,52.91599019,S097,97,8,26.664,2,6.666,47,156.651,81.16,,,2.702628,75,468.75,4687500,4.6875,249.975,166,553.278,141,469.953,4.69953,87,99,90,91,92,89,95,86,,,91.125
4,CA,Conservation,6,1,1,,-2.60552424,52.91610686,S098,98,5,16.665,2,6.666,52,173.316,89.16,,,2.969028,83,518.75,5187500,5.1875,276.639,247,823.251,172,573.276,5.73276,103,132,104,107,93,,,,,,107.8
4,CA,Conservation,6,1,1,,-2.60548118,52.91612415,S099,99,10,33.33,3,9.999,64,213.312,93.16,,,3.102228,87,543.75,5437500,5.4375,289.971,258,859.914,177,589.941,5.89941,97,98,90,103,97,88,95,93,86,91,93.8
4,CA,Conservation,6,1,1,,-2.60542672,52.91609949,S100,100,5,16.665,1,3.333,52,173.316,101.16,,,3.368628,95,593.75,5937500,5.9375,316.635,274,913.242,161,536.613,5.36613,103,112,108,98,94,,,,,,103
5,CON,Conventional,6,1,1,,-2.60556624,52.91618868,S101,101,5,16.665,2,6.666,61,203.313,110.16,,,3.668328,104,650,6500000,6.5,346.632,308,1026.564,175,583.275,5.83275,113,124,105,117,109,,,,,,113.6
5,CON,Conventional,6,1,1,,-2.6056351,52.91621,S102,102,6,19.998,2,6.666,57,189.981,82.16,,,2.735928,76,475,4750000,4.75,253.308,216,719.928,144,479.952,4.79952,95,103,121,94,91,97,,,,,100.1666667
5,CON,Conventional,6,1,1,,-2.60568222,52.91628565,S103,103,6,19.998,3,9.999,68,226.644,104.16,,,3.468528,98,612.5,6125000,6.125,326.634,295,983.235,182,606.606,6.06606,96,111,110,96,113,94,,,,,103.3333333
5,CON,Conventional,6,1,1,,-2.60577443,52.91615824,S104,104,5,16.665,0,0,61,203.313,97.16,,,3.235428,91,568.75,5687500,5.6875,303.303,,0,165,549.945,5.49945,108,102,108,116,117,,,,,,110.2
5,CON,Conventional,6,1,1,,-2.60581808,52.91614396,S105,105,7,23.331,2,6.666,62,206.646,97.16,,,3.235428,91,568.75,5687500,5.6875,303.303,259,863.247,175,583.275,5.83275,89,108,110,99,102,86,84,,,,96.85714286
5,CON,Conventional,4,2,1,,-2.6060596,52.91617142,S106,106,5,16.665,0,0,72,239.976,107.16,,,3.568428,101,631.25,6312500,6.3125,336.633,254,846.582,160,533.28,5.3328,77,88,81,84,86,,,,,,83.2
5,CON,Conventional,4,2,1,,-2.60608598,52.91610672,S107,107,3,9.999,1,3.333,35,116.655,62.16,,,2.069928,56,350,3500000,3.5,186.648,141,469.953,93,309.969,3.09969,92,95,79,,,,,,,,88.66666667
5,CON,Conventional,4,2,1,,-2.60628992,52.91602946,S108,108,5,16.665,1,3.333,72,239.976,152.16,,,5.066928,146,912.5,9125000,9.125,486.618,504,1679.832,243,809.919,8.09919,139,136,134,142,141,,,,,,138.4
5,CON,Conventional,4,2,1,,-2.606334,52.91608546,S109,109,6,19.998,0,0,52,173.316,78.16,,,2.602728,72,450,4500000,4.5,239.976,183,609.939,131,436.623,4.36623,104,105,101,98,108,99,,,,,102.5
5,CON,Conventional,4,2,1,,-2.6063992,52.91596317,S110,110,4,13.332,0,0,60,199.98,101.16,,,3.368628,95,593.75,5937500,5.9375,316.635,303,1009.899,161,536.613,5.36613,119,121,106,125,,,,,,,117.75
5,CON,Conventional,5,3,1,,-2.6065999,52.91592305,S111,111,6,19.998,3,9.999,53,176.649,74.16,,,2.469528,68,425,4250000,4.25,226.644,186,619.938,126,419.958,4.19958,110,93,105,94,99,93,,,,,99
5,CON,Conventional,5,3,1,,-2.60679023,52.91592118,S112,112,5,16.665,0,0,45,149.985,74.16,,,2.469528,68,425,4250000,4.25,226.644,224,746.592,129,429.957,4.29957,115,111,109,102,110,,,,,,109.4
5,CON,Conventional,5,3,1,,-2.60673706,52.91585306,S113,113,4,13.332,1,3.333,48,159.984,73.16,,,2.436228,67,418.75,4187500,4.1875,223.311,229,763.257,122,406.626,4.06626,114,102,108,101,,,,,,,106.25
